Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
Tony Vargas,Male,Latino (Peruvian),,,No,No,Nebraska,05-10-2022,Representative,2,"31,930",69%,,,
David J. Else,Male,White,,,No,No,Nebraska,05-10-2022,Representative,3,"8,701",52%,,,
Daniel M. Wik,Male,White,,,No,No,Nebraska,05-10-2022,Representative,3,"7,968",48%,,,
Carol Blood,Female,White,,,No,No,Nebraska,05-10-2022,Governor,N/A,"88,859",89%,,,
Roy A. Harris,Male,White,,,No,No,Nebraska,05-10-2022,Governor,N/A,"11,267",11%,,,
Joshua Wesley Blanton Sr.,Male,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"30,980",11%,,,
Charles Booker,Male,Black,,,No,No,Kentucky,5/17/22,Senator,N/A,"2,14,245",73%,,,
Ruth Gao,Female,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"18,154",6%,,,
John Merrill,Male,White,,,No,No,Kentucky,5/17/22,Senator,N/A,"28,931",10%,,,
Jimmy C. Ausbrooks,Male,White,,,No,No,Kentucky,5/17/22,Representative,1,1,100%,,,
William Dakota Compton,Male,White,,,No,No,Kentucky,5/17/22,Representative,2,"14,465",42%,,,
Hank Linderman,Male,White,,,No,No,Kentucky,5/17/22,Representative,2,"20,174",58%,,,
Morgan McGarvey,Male,White,,,No,No,Kentucky,5/17/22,Representative,3,"52,157",63%,,,
Attica Scott,Female,Black,,,No,No,Kentucky,5/17/22,Representative,3,"30,183",37%,,,
Matthew Lehman,Male,White,,,No,No,Kentucky,5/17/22,Representative,4,1,100%,,,
Conor Halbleib,Male,White,,,No,No,Kentucky,5/17/22,Representative,5,1,100%,,,
Chris Preece,Male,White,,,No,No,Kentucky,5/17/22,Representative,6,"24,007",48%,,,
"Geoffrey M. ""Geoff"" Young",Male,White,,,No,No,Kentucky,5/17/22,Representative,6,"25,722",52%,,,
William E. Barlow III,Male,White,,,No,Yes,Oregon,5/17/22,Senator,N/A,"35,025",7%,,,
Brent Thompson,Male,White,,,No,Yes,Oregon,5/17/22,Senator,N/A,"17,197",3%,,,
Ron Wyden,Male,White,,,Yes,No,Oregon,5/17/22,Senator,N/A,"4,39,665",89%,,,
Suzanne Bonamici,Female,White,,,Yes,No,Oregon,5/17/22,Representative,1,"80,317",88%,,,
Scott Phillips,Male,White,,,No,Yes,Oregon,5/17/22,Representative,1,"7,832",9%,,,
Christian Robertson,Male,White,,,No,Yes,Oregon,5/17/22,Representative,1,"2,625",3%,,,
Adam Prine,Male,White,,,No,No,Oregon,5/17/22,Representative,2,"11,669",29%,,,
Joe Yetter,Male,White,,,No,No,Oregon,5/17/22,Representative,2,"27,814",69%,,,
